시도,시군구,발생월,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,01,65,0,15,61,13
서울,종로구,02,59,0,15,68,4
서울,종로구,03,70,0,19,60,9
서울,종로구,04,90,0,21,102,10
서울,종로구,05,88,1,20,98,12
서울,종로구,06,78,1,17,70,12
서울,종로구,07,109,0,25,102,19
서울,종로구,08,77,1,23,70,12
서울,종로구,09,99,0,27,104,7
서울,종로구,10,81,0,13,97,8
서울,종로구,11,77,0,20,84,4
서울,종로구,12,81,0,9,90,11
서울,중구,01,77,0,19,60,9
서울,중구,02,59,1,17,51,15
서울,중구,03,54,0,20,54,2
서울,중구,04,81,0,24,76,9
서울,중구,05,72,0,16,69,8
서울,중구,06,73,0,19,65,5
서울,중구,07,87,0,19,83,5
서울,중구,08,66,0,15,69,7
서울,중구,09,88,1,21,87,6
서울,중구,10,81,0,20,65,11
서울,중구,11,92,0,22,86,13
서울,중구,12,113,0,34,101,10
서울,용산구,01,87,0,21,89,3
서울,용산구,02,70,1,17,68,7
서울,용산구,03,59,0,18,53,7
서울,용산구,04,67,1,14,60,2
서울,용산구,05,87,0,31,83,3
서울,용산구,06,82,2,22,96,0
서울,용산구,07,96,0,21,106,1
서울,용산구,08,91,2,17,102,2
서울,용산구,09,80,3,17,92,3
서울,용산구,10,116,1,21,116,7
서울,용산구,11,84,0,24,75,4
서울,용산구,12,95,1,27,97,4
서울,성동구,01,96,1,23,104,1
서울,성동구,02,71,0,19,69,1
서울,성동구,03,57,0,18,60,3
서울,성동구,04,89,3,22,86,3
서울,성동구,05,96,0,26,85,8
서울,성동구,06,54,0,9,57,5
서울,성동구,07,90,2,20,86,10
서울,성동구,08,78,0,22,72,5
서울,성동구,09,73,0,13,74,9
서울,성동구,10,84,0,18,88,2
서울,성동구,11,75,1,17,73,3
서울,성동구,12,85,1,19,87,5
서울,동대문구,01,154,1,32,126,20
서울,동대문구,02,85,0,25,65,7
서울,동대문구,03,94,0,26,74,9
서울,동대문구,04,116,1,29,93,9
서울,동대문구,05,151,0,30,140,23
서울,동대문구,06,110,0,18,108,15
서울,동대문구,07,139,3,37,110,15
서울,동대문구,08,112,2,29,93,12
서울,동대문구,09,128,1,25,133,11
서울,동대문구,10,147,1,37,132,13
서울,동대문구,11,127,0,34,103,8
서울,동대문구,12,171,3,45,131,26
서울,성북구,01,98,0,27,95,2
서울,성북구,02,76,0,24,69,5
서울,성북구,03,84,1,24,77,6
서울,성북구,04,99,1,27,91,10
서울,성북구,05,109,0,16,112,11
서울,성북구,06,109,1,11,111,11
서울,성북구,07,122,1,40,112,3
서울,성북구,08,116,1,24,101,16
서울,성북구,09,107,1,28,100,6
서울,성북구,10,123,1,30,117,9
서울,성북구,11,115,0,20,110,10
서울,성북구,12,130,1,27,136,8
서울,도봉구,01,54,0,17,55,4
서울,도봉구,02,41,0,14,36,4
서울,도봉구,03,39,1,16,29,5
서울,도봉구,04,44,0,13,47,9
서울,도봉구,05,52,0,13,36,11
서울,도봉구,06,41,1,14,30,5
서울,도봉구,07,41,0,12,36,7
서울,도봉구,08,45,0,20,46,6
서울,도봉구,09,44,0,10,45,3
서울,도봉구,10,37,0,16,26,2
서울,도봉구,11,43,0,12,40,5
서울,도봉구,12,41,0,15,45,1
서울,은평구,01,77,1,29,65,3
서울,은평구,02,54,0,21,58,7
서울,은평구,03,62,2,18,56,5
서울,은평구,04,75,1,20,72,5
서울,은평구,05,88,0,23,82,11
서울,은평구,06,87,2,21,74,13
서울,은평구,07,76,1,19,73,6
서울,은평구,08,64,0,15,65,8
서울,은평구,09,97,1,29,89,8
서울,은평구,10,92,0,21,99,7
서울,은평구,11,77,0,33,69,10
서울,은평구,12,69,1,24,93,5
서울,서대문구,01,79,2,28,67,13
서울,서대문구,02,64,0,8,52,12
서울,서대문구,03,62,0,13,60,5
서울,서대문구,04,98,0,24,96,17
서울,서대문구,05,88,0,21,85,21
서울,서대문구,06,86,0,20,69,21
서울,서대문구,07,85,1,18,74,21
서울,서대문구,08,83,0,18,84,18
서울,서대문구,09,91,1,12,94,10
서울,서대문구,10,85,1,21,80,17
서울,서대문구,11,79,0,16,78,15
서울,서대문구,12,74,0,12,72,11
서울,마포구,01,85,0,22,90,12
서울,마포구,02,74,1,13,81,8
서울,마포구,03,54,0,9,51,7
서울,마포구,04,99,1,32,109,10
서울,마포구,05,95,2,19,97,6
서울,마포구,06,77,1,15,91,14
서울,마포구,07,87,1,21,99,10
서울,마포구,08,97,1,22,102,10
서울,마포구,09,111,2,34,103,8
서울,마포구,10,101,1,18,116,16
서울,마포구,11,93,0,23,100,9
서울,마포구,12,92,0,18,82,6
서울,강서구,01,140,2,28,139,16
서울,강서구,02,116,1,25,101,13
서울,강서구,03,112,0,24,109,14
서울,강서구,04,135,3,34,124,11
서울,강서구,05,154,3,37,150,22
서울,강서구,06,155,1,39,148,17
서울,강서구,07,143,3,23,138,15
서울,강서구,08,126,1,29,119,20
서울,강서구,09,131,1,27,132,16
서울,강서구,10,133,0,30,125,17
서울,강서구,11,125,0,36,119,16
서울,강서구,12,136,0,27,154,14
서울,구로구,01,101,2,33,84,4
서울,구로구,02,85,1,19,90,5
서울,구로구,03,74,0,15,73,3
서울,구로구,04,92,1,22,97,9
서울,구로구,05,130,2,28,125,20
서울,구로구,06,94,0,9,105,20
서울,구로구,07,109,0,26,115,10
서울,구로구,08,108,1,23,126,12
서울,구로구,09,106,1,20,109,11
서울,구로구,10,133,1,27,131,16
서울,구로구,11,113,1,17,102,18
서울,구로구,12,129,2,21,138,8
서울,영등포구,01,183,4,37,184,23
서울,영등포구,02,117,0,22,126,14
서울,영등포구,03,126,2,25,112,14
서울,영등포구,04,164,1,43,162,23
서울,영등포구,05,183,1,45,189,18
서울,영등포구,06,180,1,43,185,19
서울,영등포구,07,172,4,41,174,22
서울,영등포구,08,142,3,29,141,12
서울,영등포구,09,190,0,34,209,19
서울,영등포구,10,195,1,40,197,21
서울,영등포구,11,178,0,25,206,20
서울,영등포구,12,168,3,40,183,10
서울,동작구,01,107,2,28,109,16
서울,동작구,02,78,2,16,82,14
서울,동작구,03,67,0,20,59,14
서울,동작구,04,93,0,18,95,9
서울,동작구,05,96,0,16,99,17
서울,동작구,06,96,0,19,89,10
서울,동작구,07,104,0,26,109,13
서울,동작구,08,95,1,23,89,9
서울,동작구,09,106,0,21,109,8
서울,동작구,10,114,1,27,124,12
서울,동작구,11,117,0,18,143,10
서울,동작구,12,144,1,28,132,20
서울,관악구,01,104,0,29,111,3
서울,관악구,02,89,1,32,77,1
서울,관악구,03,79,0,19,74,4
서울,관악구,04,109,0,22,128,3
서울,관악구,05,122,1,26,123,2
서울,관악구,06,91,1,18,92,4
서울,관악구,07,107,1,26,115,5
서울,관악구,08,71,1,17,64,0
서울,관악구,09,99,1,26,95,3
서울,관악구,10,93,0,17,108,4
서울,관악구,11,104,1,33,92,16
서울,관악구,12,104,2,20,120,6
서울,강남구,01,339,0,58,361,29
서울,강남구,02,221,1,47,261,14
서울,강남구,03,244,3,48,254,24
서울,강남구,04,327,1,68,372,15
서울,강남구,05,319,3,61,368,28
서울,강남구,06,322,1,69,336,23
서울,강남구,07,360,1,64,371,41
서울,강남구,08,307,1,54,346,31
서울,강남구,09,304,1,56,335,30
서울,강남구,10,343,0,59,353,40
서울,강남구,11,331,2,53,355,31
서울,강남구,12,292,2,48,323,26
