발생월,요일,사고건수,사망자수,중상자수,경상자수,부상신고자수
01,일,1843,18,529,2219,171
01,월,2540,41,671,2760,201
01,화,2265,28,585,2337,165
01,수,2053,24,502,2185,190
01,목,2193,26,587,2318,166
01,금,2581,23,661,2687,204
01,토,2419,33,701,2753,199
02,일,1300,19,353,1499,135
02,월,1922,17,517,1995,147
02,화,1677,20,439,1884,143
02,수,1738,29,482,1803,152
02,목,1924,23,498,1944,178
02,금,2075,27,551,2162,169
02,토,1726,26,461,1922,154
03,일,1307,16,370,1433,111
03,월,1740,20,472,1726,135
03,화,2212,31,603,2344,166
03,수,2278,34,610,2249,170
03,목,2293,33,619,2238,184
03,금,2005,20,520,2146,146
03,토,1785,29,446,2040,125
04,일,1723,33,532,2087,171
04,월,2255,23,600,2438,178
04,화,2218,31,605,2266,191
04,수,2252,31,636,2307,199
04,목,2180,32,575,2256,184
04,금,3038,40,792,3247,246
04,토,2806,26,738,3272,279
05,일,2356,30,704,2789,275
05,월,2918,50,723,2972,246
05,화,3057,47,807,3114,252
05,수,2456,25,645,2493,204
05,목,2293,29,640,2340,224
05,금,2634,27,701,2749,233
05,토,2351,27,652,2750,259
06,일,1618,19,462,1933,174
06,월,2128,36,574,2254,215
06,화,2256,30,574,2305,214
06,수,2847,40,769,2914,226
06,목,2896,40,815,2879,251
06,금,2405,29,651,2406,238
06,토,2331,37,593,2760,222
07,일,2140,28,583,2674,236
07,월,2302,19,629,2366,191
07,화,2188,34,572,2283,176
07,수,2250,35,593,2322,234
07,목,2356,37,567,2498,232
07,금,3129,45,821,3373,297
07,토,2750,43,734,3161,270
08,일,1623,31,460,1992,158
08,월,2589,42,662,2845,220
08,화,2733,37,680,2892,272
08,수,2792,36,702,2968,279
08,목,2120,29,557,2228,156
08,금,2424,39,651,2562,183
08,토,2215,28,589,2671,227
09,일,1718,29,464,2120,182
09,월,2148,34,548,2320,182
09,화,2328,38,604,2322,255
09,수,2455,33,621,2459,205
09,목,3150,46,789,3234,269
09,금,3223,48,860,3437,275
09,토,2194,29,562,2723,213
10,일,2295,35,616,2788,240
10,월,2870,32,793,3130,257
10,화,2503,38,682,2592,198
10,수,2433,33,624,2558,232
10,목,2555,40,648,2592,209
10,금,2727,46,720,2722,234
10,토,3125,61,800,3797,343
11,일,1758,31,484,2070,193
11,월,2403,41,576,2476,229
11,화,3004,51,809,2989,251
11,수,2943,41,753,2940,283
11,목,2399,29,632,2531,198
11,금,2684,41,675,2724,229
11,토,2387,23,615,2831,255
12,일,1608,27,370,2018,182
12,월,2128,32,538,2231,175
12,화,2363,34,603,2533,224
12,수,2364,30,534,2564,217
12,목,2909,38,680,3077,201
12,금,3020,37,704,3354,264
12,토,2637,36,646,3288,240
